,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20171217,101.52,3.37,4.3,2.69,1.62,338.12,5.45,7.03,3.44,3.59,338.38
20171218,101.55,2.98,4.35,2.2,2.15,344.25,4.71,7.2,3.35,3.84,344.5
20171219,101.57,2.15,2.95,1.22,1.73,250.62,3.28,5.38,1.27,4.11,251.25
20171220,101.61,1.41,3.0,0.3,2.69,244.31,2.05,4.38,0.39,3.98,245.5
20171221,101.54,1.3,2.6,0.16,2.43,263.19,1.8,3.45,0.21,3.23,263.44
20171222,101.34,1.73,2.59,0.87,1.72,328.62,2.47,4.0,1.2,2.8,328.75
20171223,101.14,2.04,3.36,1.16,2.2,282.44,3.08,5.45,1.6,3.84,282.75
20171224,101.15,2.18,3.43,1.2,2.23,286.88,3.27,5.41,1.55,3.87,287.25
20171225,101.15,2.57,3.76,1.22,2.55,333.56,3.91,6.17,1.71,4.46,333.56
20171226,101.25,3.45,4.56,2.55,2.02,329.44,5.76,8.21,3.16,5.05,329.62
20171227,101.26,2.92,3.72,2.01,1.7,305.0,4.9,7.09,2.74,4.35,290.5
20171228,101.24,2.59,3.79,0.81,2.98,273.88,4.13,7.18,1.08,6.1,274.25
20171229,101.33,1.98,3.29,0.86,2.42,258.06,2.78,4.63,1.14,3.48,258.19
20171230,101.27,2.07,3.66,0.27,3.41,258.94,2.95,5.52,0.35,5.17,229.19
20171231,101.09,2.32,4.29,0.43,3.87,282.31,3.52,7.12,0.57,6.55,282.69
20180101,100.97,2.14,3.95,0.17,3.77,266.25,3.36,6.29,0.25,6.04,266.69
20180102,100.87,3.31,4.81,1.91,2.91,328.19,5.28,6.96,3.34,3.62,328.62
20180103,101.01,2.77,3.93,1.29,2.64,269.88,4.52,7.19,1.82,5.37,269.75
20180104,101.19,3.05,4.59,2.21,2.38,206.19,4.73,6.15,3.14,3.01,206.31
20180105,101.06,2.61,4.22,1.48,2.73,245.69,3.82,6.2,2.11,4.09,245.62
20180106,100.96,2.35,4.04,1.59,2.45,255.56,3.53,7.08,2.02,5.06,255.31
20180107,101.11,2.3,3.3,1.28,2.03,257.19,3.24,4.85,1.77,3.09,257.12
20180108,101.3,1.96,3.42,0.63,2.79,223.12,2.73,4.97,0.88,4.09,223.19
20180109,101.43,2.74,4.08,1.75,2.33,244.5,4.07,6.32,2.51,3.81,244.69
20180110,101.45,2.4,4.07,0.81,3.26,255.69,3.61,6.6,1.09,5.52,255.75
20180111,101.34,2.27,3.59,0.98,2.62,257.06,3.3,5.33,1.34,3.99,256.94
20180112,101.23,1.63,2.67,0.97,1.7,204.75,2.3,4.3,1.13,3.17,203.88
20180113,101.17,1.9,2.93,0.75,2.18,228.75,2.7,4.08,1.03,3.05,228.31
20180114,101.27,2.66,3.73,0.77,2.95,268.5,4.09,5.73,1.07,4.66,268.5
20180115,101.19,2.69,3.91,0.79,3.12,262.62,4.06,6.55,1.05,5.5,262.56
20180116,101.11,2.64,3.96,0.62,3.34,252.94,3.91,6.07,0.8,5.27,252.88
20180117,101.14,2.12,3.69,0.3,3.38,246.81,3.02,5.02,0.42,4.6,246.56
20180118,101.13,2.25,4.17,0.74,3.44,282.94,3.43,6.73,0.97,5.76,282.94
20180119,101.21,2.18,3.43,0.91,2.52,279.75,3.17,5.57,1.21,4.36,279.62
20180120,101.1,2.09,3.6,0.44,3.16,262.0,3.05,5.76,0.58,5.18,262.19
20180121,101.08,2.14,3.52,1.09,2.42,281.12,3.04,5.09,1.49,3.59,281.0
20180122,100.98,2.18,3.92,0.24,3.68,267.19,3.14,5.96,0.3,5.65,267.0
20180123,100.87,1.79,2.89,0.22,2.68,236.5,2.54,4.87,0.32,4.55,236.56
20180124,100.71,2.29,3.19,0.79,2.4,211.06,3.39,5.2,1.16,4.04,211.19
20180125,100.78,2.66,3.85,1.68,2.17,252.88,4.23,7.45,2.51,4.94,252.94
20180126,100.91,1.81,3.71,0.34,3.37,263.94,2.58,5.97,0.44,5.53,248.56
20180127,101.01,2.2,3.55,0.73,2.81,269.62,3.07,5.12,0.97,4.16,269.0
20180128,101.13,1.82,3.16,0.52,2.63,228.31,2.52,4.62,0.66,3.96,227.56
20180129,101.21,2.08,3.63,0.29,3.34,223.25,2.89,5.31,0.39,4.92,222.69
20180130,101.09,2.11,3.41,0.35,3.05,268.62,3.02,6.1,0.55,5.55,269.69
20180131,100.93,2.34,3.36,1.38,1.98,227.12,3.41,5.03,1.58,3.45,226.38
20180201,100.95,1.88,3.34,0.83,2.5,194.75,2.57,3.8,1.13,2.67,194.62
20180202,100.96,2.16,3.38,1.37,2.02,246.44,3.07,5.07,1.79,3.28,246.06
20180203,101.06,1.96,3.36,0.61,2.75,241.62,3.02,6.32,0.85,5.47,241.75
20180204,101.03,2.12,3.12,0.99,2.13,219.56,3.35,5.88,1.27,4.61,218.81
20180205,101.28,1.43,2.8,0.37,2.44,187.44,2.03,5.05,0.4,4.65,187.56
20180206,101.17,2.16,3.16,0.23,2.92,275.88,3.2,4.84,0.3,4.54,275.31
20180207,100.92,2.08,2.89,0.75,2.14,282.31,3.13,4.97,1.06,3.91,281.88
20180208,100.86,2.38,3.44,0.24,3.2,267.88,3.72,5.82,0.38,5.45,268.25
20180209,100.86,2.17,2.85,1.18,1.68,232.12,3.19,4.73,1.29,3.44,231.0
20180210,101.18,2.46,3.67,1.15,2.52,116.38,3.57,5.06,1.66,3.41,116.56
20180211,101.39,1.82,2.98,0.31,2.67,140.0,2.61,4.63,0.47,4.16,140.31
20180212,101.46,2.54,3.46,0.33,3.13,308.62,3.74,6.08,0.45,5.62,308.62
20180213,101.55,2.79,4.28,1.73,2.54,231.12,4.52,7.45,2.46,4.98,231.5
20180214,101.5,2.89,5.63,0.94,4.7,266.0,4.21,7.9,1.33,6.57,265.38
20180215,101.55,2.52,4.98,1.12,3.86,266.69,3.77,7.77,1.56,6.21,266.62
20180216,101.34,2.48,4.07,0.99,3.09,274.81,3.48,6.57,1.41,5.17,274.5
20180217,100.95,2.2,3.45,1.12,2.33,248.25,3.12,5.27,1.57,3.7,247.81
20180218,100.89,2.24,3.02,0.73,2.29,239.94,3.41,5.67,1.02,4.66,239.31
20180219,100.94,2.12,3.22,0.62,2.59,217.75,3.51,6.76,0.86,5.9,218.06
20180220,100.91,1.15,2.62,0.26,2.36,241.25,1.62,4.75,0.31,4.44,241.44
20180221,100.74,1.49,2.21,0.05,2.16,229.56,2.09,3.21,0.15,3.06,227.19
20180222,100.73,1.8,2.86,0.37,2.49,261.56,2.45,3.98,0.47,3.52,260.38
20180223,100.8,2.72,3.83,1.23,2.59,214.56,4.6,8.37,1.66,6.71,214.88
20180224,100.98,1.8,3.2,0.2,3.01,254.81,2.95,7.07,0.26,6.81,254.62
20180225,100.95,2.11,3.12,0.9,2.23,243.56,3.36,6.35,1.38,4.98,242.56
20180226,100.81,2.23,3.88,0.88,3.01,254.31,3.27,6.76,1.29,5.47,254.12
20180227,100.86,2.02,3.16,0.78,2.38,234.12,2.79,4.39,1.05,3.34,233.5
20180228,100.85,2.23,3.25,0.9,2.35,265.75,3.18,5.05,1.24,3.81,265.19
20180301,100.77,2.4,3.23,0.79,2.45,251.12,3.54,5.23,1.15,4.09,250.5
20180302,100.63,2.47,3.35,0.19,3.16,230.56,4.19,7.43,0.21,7.22,230.19
20180303,100.39,2.45,3.28,0.91,2.38,217.12,3.94,7.19,1.38,5.8,216.5
20180304,100.5,2.0,3.03,0.59,2.45,239.12,3.07,5.82,0.73,5.09,238.5
20180305,100.69,2.7,5.18,0.27,4.91,320.06,4.64,9.98,0.34,9.63,319.56
20180306,100.77,2.47,3.63,1.1,2.53,242.19,4.13,7.68,1.26,6.41,240.94
20180307,100.9,2.37,3.47,0.84,2.64,238.94,3.52,6.43,1.16,5.27,238.69
20180308,100.96,1.7,2.85,0.18,2.67,239.0,2.3,4.04,0.27,3.78,238.06
20180309,100.87,2.39,3.81,0.59,3.23,281.06,3.35,6.01,0.81,5.2,280.44
20180310,100.84,2.82,3.91,1.39,2.52,249.88,4.33,6.7,1.98,4.72,249.25
20180311,100.86,2.55,3.52,0.1,3.42,235.88,4.38,7.4,0.16,7.24,234.81
20180312,100.79,2.66,3.59,0.59,3.01,243.5,4.3,7.37,0.87,6.5,243.38
20180313,100.7,2.25,3.2,0.98,2.21,227.44,3.46,7.02,1.22,5.8,226.81
20180314,100.62,2.02,3.13,0.49,2.64,250.44,3.04,6.1,0.63,5.47,248.88
20180315,100.51,2.2,3.41,0.46,2.95,214.19,3.74,7.31,0.54,6.77,212.25
20180316,100.47,2.48,4.36,0.52,3.84,235.94,4.05,7.95,0.78,7.16,235.12
20180317,100.62,3.3,5.94,1.6,4.34,228.94,5.68,7.53,2.04,5.5,229.75
20180318,100.78,1.8,2.95,0.52,2.42,213.62,2.8,6.63,0.62,6.02,213.06
20180319,100.91,2.22,3.09,0.97,2.12,268.56,3.19,4.91,1.36,3.55,267.94
20180320,100.69,2.18,3.28,0.55,2.73,252.75,3.41,6.53,0.83,5.7,251.62
20180321,100.58,1.97,3.25,0.37,2.88,249.31,3.05,6.95,0.54,6.41,248.38
20180322,100.36,2.54,4.67,0.56,4.11,190.5,4.45,8.38,0.73,7.65,193.44
20180323,100.38,2.56,4.0,0.06,3.94,222.88,4.44,7.34,0.17,7.17,220.81
20180324,100.73,2.06,3.3,0.8,2.5,183.81,3.55,6.28,0.86,5.42,184.31
20180325,100.9,1.92,3.88,0.34,3.55,230.0,3.22,7.38,0.39,6.99,244.31
20180326,100.77,2.17,3.84,0.65,3.2,244.88,3.57,7.12,0.75,6.37,244.06
20180327,100.6,2.2,3.2,1.2,2.0,219.06,3.61,6.89,1.41,5.48,219.06
20180328,100.54,2.13,3.91,0.47,3.44,200.44,3.54,6.47,0.59,5.88,202.19
20180329,100.48,3.18,5.91,1.46,4.45,187.38,4.94,8.86,1.7,7.16,188.62
20180330,100.42,3.68,5.88,1.92,3.96,182.31,5.49,8.84,2.05,6.79,183.88
20180331,100.52,3.52,5.14,2.29,2.85,170.19,5.3,7.97,2.44,5.53,171.12
20180401,100.6,2.12,4.19,1.05,3.13,175.06,3.51,7.12,1.19,5.95,177.12
20180402,100.73,2.19,4.71,0.45,4.27,148.69,3.41,6.95,0.65,6.29,147.81
20180403,100.62,2.3,3.77,0.86,2.91,213.19,4.14,7.36,0.96,6.4,214.19
20180404,100.46,3.15,4.55,2.3,2.25,190.62,4.98,7.74,2.87,4.87,191.12
20180405,100.3,3.85,5.85,2.4,3.46,181.0,5.65,8.5,3.88,4.62,182.31
20180406,100.43,3.78,5.55,2.16,3.39,175.06,5.45,8.02,3.69,4.34,176.44
20180407,100.65,1.91,3.54,0.99,2.55,162.31,3.34,5.63,1.09,4.53,163.0
20180408,100.77,2.27,3.55,1.09,2.46,181.31,3.7,6.56,1.77,4.8,182.19
20180409,100.75,3.32,5.0,2.2,2.8,189.0,5.33,8.49,2.91,5.59,190.06
20180410,100.61,3.07,5.12,1.09,4.04,194.94,4.92,8.52,1.29,7.23,196.88
20180411,100.51,3.02,4.86,0.46,4.41,207.69,4.84,8.15,0.48,7.66,208.62
20180412,100.44,2.81,4.69,0.7,3.99,207.5,4.62,7.97,1.02,6.95,208.38
20180413,100.51,3.03,4.79,0.2,4.59,229.75,4.79,8.04,0.12,7.92,227.88
20180414,100.41,2.85,4.98,0.67,4.31,230.0,4.63,8.61,0.99,7.62,230.19
20180415,100.43,2.91,3.92,0.62,3.3,250.5,4.8,7.62,0.89,6.73,250.12
20180416,100.48,2.38,4.59,0.58,4.02,220.75,4.02,8.11,0.88,7.23,221.44
20180417,100.48,3.61,5.76,1.16,4.6,189.44,5.48,8.23,1.29,6.94,191.69
20180418,100.36,3.66,5.78,2.05,3.72,180.56,5.32,8.27,2.24,6.02,182.31
20180419,100.17,3.2,5.41,0.55,4.87,187.75,4.7,8.03,0.45,7.58,192.38
20180420,100.15,4.28,6.68,2.87,3.8,180.5,6.04,9.18,3.84,5.34,182.0
20180421,100.11,4.34,6.07,1.72,4.35,185.56,5.84,7.79,1.95,5.84,187.94
20180422,100.24,3.57,4.61,2.36,2.25,170.0,4.91,6.77,2.39,4.38,171.44
20180423,100.37,2.23,4.16,0.38,3.78,209.88,3.61,7.02,0.4,6.62,213.06
20180424,100.34,2.58,5.12,0.45,4.67,229.75,4.16,8.34,0.66,7.69,230.25
20180425,100.19,3.19,6.98,1.95,5.04,203.31,4.73,9.6,2.25,7.35,205.38
20180426,100.26,4.53,6.66,3.3,3.35,162.31,6.08,8.95,4.36,4.59,163.94
20180427,100.51,3.76,4.26,2.67,1.59,165.25,5.56,8.02,4.06,3.95,166.69
20180428,100.45,4.54,6.41,2.15,4.26,170.38,6.48,8.8,4.18,4.62,171.62
20180429,100.17,4.85,6.76,2.98,3.78,174.44,6.63,9.38,3.39,5.99,176.38
20180430,100.24,5.03,6.69,3.57,3.12,161.62,6.75,8.37,4.92,3.45,163.0
20180501,100.37,3.19,4.67,1.73,2.94,182.44,4.66,7.38,2.56,4.81,184.0
20180502,100.4,3.35,5.09,2.07,3.02,165.44,4.8,7.79,3.13,4.66,166.56
20180503,100.55,1.56,2.3,0.7,1.6,189.69,2.53,4.72,0.76,3.97,190.56
20180504,100.42,3.71,6.6,2.09,4.51,200.06,5.41,8.88,2.96,5.92,201.44
20180505,100.3,5.08,8.11,3.1,5.0,190.06,6.73,10.45,5.41,5.04,192.0
20180506,100.23,5.77,7.44,4.13,3.3,188.0,7.52,9.66,5.16,4.49,190.06
20180507,100.03,4.18,6.56,2.47,4.09,200.19,5.7,8.97,2.88,6.09,202.12
20180508,99.96,4.48,7.07,2.49,4.59,195.88,5.96,9.31,2.98,6.34,198.38
20180509,100.14,3.46,5.39,0.37,5.02,216.94,4.75,7.67,0.41,7.27,218.31
20180510,100.4,3.75,6.03,2.45,3.58,191.69,5.05,8.48,2.91,5.55,193.31
20180511,100.27,3.77,6.45,2.22,4.23,185.12,5.11,9.12,3.09,6.03,187.38
20180512,100.28,3.71,6.48,2.36,4.12,160.12,4.85,8.74,2.34,6.4,162.19
20180513,100.28,4.02,5.83,2.05,3.77,162.31,5.24,7.92,3.97,3.95,163.75
20180514,100.36,2.91,4.11,1.45,2.66,176.88,4.27,6.44,1.84,4.6,190.69
20180515,100.23,3.58,7.29,1.7,5.59,208.94,4.89,9.55,2.81,6.73,211.12
20180516,100.1,4.95,7.3,3.12,4.18,176.69,6.43,9.77,4.81,4.95,178.69
20180517,100.09,2.27,4.27,1.01,3.27,205.06,3.49,6.83,1.2,5.63,204.38
20180518,99.98,2.93,5.98,0.84,5.14,197.12,4.27,8.13,0.95,7.18,197.62
20180519,99.95,3.29,6.43,0.59,5.84,207.81,4.59,8.48,0.63,7.85,208.75
20180520,100.06,4.16,6.38,2.93,3.45,188.06,5.56,8.8,3.52,5.27,190.0
20180521,100.06,3.98,8.08,1.27,6.8,195.88,5.2,10.21,1.51,8.71,200.06
20180522,100.1,5.01,6.75,3.18,3.56,177.75,6.37,8.96,3.43,5.53,180.19
20180523,100.12,5.52,6.76,4.66,2.1,178.44,7.25,8.41,6.55,1.86,179.56
20180524,100.01,6.16,7.47,4.59,2.89,183.81,7.95,8.83,6.59,2.23,185.31
20180525,99.96,5.84,6.52,4.57,1.96,184.56,7.65,8.59,6.52,2.08,185.81
20180526,99.98,5.45,7.27,3.46,3.8,183.38,6.99,8.98,5.28,3.7,184.94
20180527,100.01,5.23,6.12,3.59,2.53,179.06,6.73,8.14,5.67,2.47,180.38
20180528,99.8,5.1,7.23,2.9,4.33,178.19,6.54,8.8,5.02,3.77,179.25
20180529,99.72,4.74,6.63,2.52,4.12,168.19,6.2,7.69,4.32,3.37,168.94
20180530,99.79,3.76,7.05,0.33,6.73,162.38,4.7,8.02,0.52,7.5,163.5
20180531,99.99,3.95,5.08,2.7,2.38,164.38,4.95,6.28,2.74,3.54,165.5
20180601,100.21,4.08,5.49,3.3,2.19,170.19,5.42,6.63,4.59,2.05,171.44
20180602,100.17,3.83,4.89,2.33,2.57,171.75,5.38,7.09,4.14,2.95,172.75
20180603,99.87,3.07,3.91,1.83,2.09,179.19,4.44,6.14,1.91,4.24,181.12
20180604,99.84,3.17,4.79,1.7,3.09,169.25,4.43,6.22,2.84,3.38,170.19
20180605,100.07,3.03,3.84,2.12,1.73,141.88,4.47,5.84,3.4,2.45,142.31
20180606,100.13,2.8,4.41,1.45,2.96,174.56,4.1,6.91,2.08,4.84,174.75
20180607,99.82,3.28,4.83,1.74,3.09,180.38,4.68,6.37,3.08,3.29,180.75
20180608,99.56,1.53,2.38,0.33,2.05,108.62,2.34,4.45,0.34,4.12,109.0
20180609,99.27,1.46,3.18,0.52,2.66,212.94,2.52,6.55,0.41,6.15,212.75
20180610,99.14,2.71,4.16,0.69,3.47,199.19,4.14,6.92,0.58,6.34,212.06
20180611,99.02,3.45,5.72,2.45,3.27,248.5,5.26,8.65,2.95,5.69,250.25
20180612,99.02,3.37,5.66,0.78,4.88,225.62,4.95,8.34,0.98,7.36,228.88
20180613,99.15,5.02,7.92,1.63,6.29,245.31,7.24,10.07,3.24,6.83,246.19
20180614,99.27,4.75,6.61,3.28,3.33,222.69,6.77,9.71,4.21,5.5,224.38
20180615,99.43,4.32,6.15,2.6,3.55,242.44,6.35,9.27,3.97,5.3,243.81
20180616,99.56,4.42,6.21,3.09,3.12,254.81,6.64,8.38,3.74,4.65,255.25
20180617,99.59,4.37,6.23,2.38,3.86,197.75,5.96,8.97,2.38,6.59,200.44
20180618,99.48,3.19,4.97,1.07,3.9,238.69,4.72,6.33,1.52,4.81,240.06
20180619,99.57,3.23,5.2,1.38,3.82,215.75,4.71,7.33,1.48,5.84,215.12
20180620,99.8,3.22,4.0,2.66,1.34,189.56,4.53,5.83,3.09,2.74,190.44
20180621,99.91,4.38,5.82,3.29,2.53,186.69,6.2,7.02,5.6,1.41,187.38
20180622,99.83,3.88,5.62,2.35,3.27,180.38,5.35,7.7,3.76,3.94,181.69
20180623,99.8,4.45,6.04,3.28,2.75,193.19,5.93,8.13,3.73,4.4,194.88
20180624,99.71,4.38,5.53,2.8,2.73,210.19,6.23,8.05,3.9,4.16,211.56
20180625,99.59,3.98,5.39,2.05,3.34,221.56,5.83,8.05,3.84,4.2,222.44
20180626,99.57,3.12,5.09,1.71,3.38,200.62,4.59,7.65,2.06,5.59,199.94
20180627,99.53,3.05,5.24,1.5,3.74,201.19,4.45,7.5,1.66,5.84,201.75
20180628,99.86,3.98,7.2,1.86,5.34,149.19,5.63,8.73,2.3,6.43,149.81
20180629,99.93,3.62,4.57,1.75,2.82,187.69,5.31,7.33,3.73,3.6,188.25
20180630,99.89,4.64,5.88,3.32,2.55,202.31,6.25,8.09,3.95,4.14,203.56
20180701,99.88,4.49,5.87,3.61,2.26,211.88,6.37,9.11,4.12,4.99,212.75
20180702,99.78,3.98,4.84,2.95,1.9,213.0,5.7,7.28,5.1,2.18,214.25
20180703,99.72,4.42,6.07,3.12,2.95,214.75,6.13,8.45,4.1,4.35,215.94
20180704,99.69,4.41,6.09,2.79,3.3,215.44,6.13,8.52,4.26,4.27,216.38
20180705,99.65,3.11,4.34,1.37,2.98,250.44,4.57,6.52,2.06,4.46,251.69
20180706,99.54,2.31,4.21,0.05,4.16,234.44,3.44,6.33,0.12,6.2,235.62
20180707,99.44,2.43,3.96,0.63,3.33,171.56,3.7,6.49,0.73,5.77,171.38
20180708,99.43,3.16,5.39,1.2,4.19,147.12,4.57,6.69,2.31,4.38,147.0
20180709,99.48,3.56,6.04,1.96,4.08,154.25,5.27,7.4,3.38,4.02,154.81
20180710,99.54,2.67,3.99,1.62,2.37,162.5,4.07,6.05,2.17,3.88,162.44
20180711,99.42,2.51,3.32,1.72,1.6,175.75,3.95,5.64,2.48,3.16,175.88
20180712,99.37,2.3,3.76,0.34,3.41,180.75,3.62,5.55,0.37,5.19,180.81
20180713,99.38,2.69,4.07,1.41,2.66,131.75,4.23,5.45,2.98,2.47,131.69
20180714,99.31,3.27,5.28,0.95,4.33,87.75,4.75,6.16,1.48,4.67,87.88
20180715,99.23,4.88,7.59,2.4,5.18,97.31,6.98,9.59,4.92,4.67,97.75
20180716,99.2,4.52,6.95,2.19,4.77,109.75,6.32,8.33,4.2,4.13,110.12
20180717,99.24,6.16,8.42,3.61,4.81,153.25,8.13,10.52,6.29,4.23,154.0
20180718,99.42,1.66,3.32,0.19,3.13,157.94,2.73,6.04,0.16,5.88,157.69
20180719,99.37,2.69,4.12,0.3,3.83,124.88,3.97,5.65,0.48,5.17,125.25
20180720,99.27,2.16,3.81,0.44,3.38,133.44,3.28,4.74,0.63,4.11,133.06
20180721,99.07,4.88,6.55,2.24,4.3,73.0,6.8,8.34,4.5,3.84,73.5
20180722,99.04,5.64,8.92,2.05,6.88,150.81,7.6,11.53,3.61,7.91,152.69
20180723,99.55,5.61,7.87,2.67,5.2,182.44,7.74,9.84,5.32,4.52,183.44
20180724,99.76,3.34,4.36,1.79,2.57,201.38,5.05,7.16,3.73,3.44,202.31
20180725,99.74,4.27,5.09,3.01,2.09,204.38,6.2,7.6,5.01,2.59,205.56
20180726,99.76,3.09,4.25,1.95,2.3,228.94,4.77,6.51,3.25,3.25,229.75
20180727,99.68,4.3,6.34,1.94,4.41,255.56,6.27,8.17,3.25,4.91,256.31
20180728,99.64,3.01,4.04,2.23,1.8,221.19,4.59,6.45,2.52,3.92,222.06
20180729,99.57,4.04,5.32,2.73,2.59,200.81,5.66,8.17,4.12,4.05,201.88
20180730,99.5,4.63,6.45,2.2,4.24,225.06,6.63,8.8,3.57,5.23,225.75
20180731,99.53,3.1,4.41,2.2,2.21,239.75,4.84,5.76,3.83,1.93,240.69
20180801,99.61,4.6,7.54,2.18,5.36,250.94,6.85,9.54,4.34,5.2,251.62
20180802,99.76,3.59,4.45,2.51,1.94,225.44,5.45,6.76,4.2,2.56,226.56
20180803,99.7,3.02,4.52,1.58,2.94,267.25,4.51,6.8,2.93,3.87,268.0
20180804,99.65,3.3,4.71,2.03,2.68,272.75,5.15,6.07,4.02,2.05,273.44
20180805,99.64,2.68,3.52,1.68,1.84,277.5,4.15,5.91,3.3,2.62,278.25
20180806,99.38,2.74,4.09,1.88,2.2,145.88,4.34,6.29,2.58,3.71,146.25
20180807,99.37,4.91,6.93,3.66,3.27,97.19,6.91,9.33,5.75,3.58,97.75
20180808,99.64,4.97,7.02,2.83,4.2,129.38,7.2,8.56,5.6,2.96,129.88
20180809,99.89,3.29,4.88,2.1,2.78,154.0,4.98,6.02,4.0,2.02,154.5
20180810,99.82,2.7,3.83,1.8,2.02,177.94,4.24,6.62,2.12,4.5,178.44
20180811,99.56,2.91,4.04,1.76,2.29,173.62,4.6,6.61,2.11,4.5,174.19
20180812,99.38,2.63,3.38,1.65,1.73,164.5,4.3,5.8,2.88,2.91,164.5
20180813,99.4,1.88,2.72,1.04,1.68,100.62,2.84,3.91,1.36,2.55,100.62
20180814,99.33,2.55,4.13,1.12,3.01,83.25,3.97,5.58,2.12,3.46,83.12
20180815,99.47,5.72,9.2,3.61,5.59,96.12,8.16,11.88,6.2,5.67,96.81
20180816,99.71,4.73,6.59,2.83,3.77,134.25,6.92,8.11,5.62,2.48,134.62
20180817,99.59,2.63,3.77,1.74,2.03,129.0,4.18,5.34,3.48,1.86,129.19
20180818,99.47,1.98,3.42,0.35,3.08,133.25,3.02,4.45,0.6,3.84,133.25
20180819,99.39,2.28,4.01,1.02,2.98,183.94,3.63,6.82,1.23,5.59,183.62
20180820,99.5,3.63,5.02,1.62,3.39,135.44,5.51,6.87,3.1,3.77,135.94
20180821,99.62,3.83,5.59,2.15,3.45,124.44,5.76,7.2,3.79,3.41,125.19
20180822,99.64,2.78,3.93,1.51,2.42,232.19,4.17,5.93,2.55,3.38,233.94
20180823,99.72,2.53,3.8,1.42,2.38,221.94,4.17,6.55,1.6,4.94,222.62
20180824,99.66,1.41,2.25,0.8,1.45,234.81,2.55,4.91,0.97,3.94,236.38
20180825,99.58,2.02,4.09,0.62,3.46,155.88,3.13,5.08,0.84,4.25,155.0
20180826,99.46,2.92,4.96,1.04,3.92,95.81,4.46,6.01,1.8,4.21,95.75
20180827,99.47,4.7,6.93,2.18,4.75,89.38,6.97,8.94,4.81,4.13,90.38
20180828,99.75,3.57,4.58,2.73,1.85,149.5,5.66,6.26,4.73,1.53,150.25
20180829,99.91,2.91,3.75,1.99,1.76,176.88,4.77,6.65,3.09,3.56,177.44
20180830,99.79,2.88,3.59,2.23,1.36,213.25,4.74,6.92,2.59,4.33,214.12
20180831,99.78,2.2,2.78,1.7,1.07,250.12,3.86,5.98,1.95,4.03,250.94
20180901,99.92,2.47,3.59,0.84,2.76,190.75,3.95,6.41,1.17,5.23,190.94
20180902,99.92,3.25,4.84,1.49,3.34,190.25,5.02,6.2,3.0,3.2,191.31
20180903,99.93,3.2,4.45,2.15,2.3,220.62,5.25,5.92,4.23,1.69,221.31
20180904,99.96,2.18,2.88,0.87,2.02,263.44,3.86,5.39,1.09,4.3,263.5
20180905,99.74,1.66,2.28,0.86,1.42,149.31,2.89,5.14,1.3,3.84,150.19
20180906,99.46,5.68,7.6,2.48,5.12,74.62,8.14,9.68,5.43,4.25,75.69
20180907,99.9,5.27,6.88,2.91,3.96,144.19,7.62,10.0,5.92,4.08,145.06
20180908,100.17,2.71,3.8,1.85,1.95,161.88,4.41,5.95,3.1,2.84,161.88
20180909,100.28,3.09,4.29,1.67,2.62,166.88,4.78,7.1,3.1,4.01,167.44
20180910,100.48,3.66,4.68,2.76,1.91,190.88,5.58,7.4,3.81,3.59,191.81
20180911,100.45,1.92,3.19,1.12,2.06,248.88,3.27,5.93,2.09,3.84,249.69
20180912,100.24,2.34,3.72,1.59,2.13,233.44,3.77,4.76,2.73,2.03,234.0
20180913,100.13,2.72,4.72,0.38,4.34,254.69,4.29,5.97,0.59,5.38,255.12
20180914,100.23,1.19,1.9,0.25,1.65,147.31,1.98,3.88,0.41,3.48,145.31
20180915,100.33,1.41,2.36,0.13,2.23,154.62,2.05,3.0,0.18,2.82,154.75
20180916,100.2,1.91,2.73,1.33,1.41,263.56,3.12,4.59,2.0,2.59,264.12
20180917,100.03,2.25,3.54,1.13,2.41,195.31,3.45,4.55,1.71,2.85,195.56
20180918,100.03,2.47,3.7,0.27,3.44,167.0,3.88,6.65,0.38,6.27,167.19
20180919,100.02,2.48,3.73,1.12,2.61,147.0,3.97,5.02,1.69,3.34,147.06
20180920,99.97,5.15,7.39,1.34,6.05,75.12,7.69,10.21,2.75,7.46,76.06
20180921,100.35,5.33,7.41,3.34,4.06,136.62,7.85,9.71,5.93,3.77,137.31
20180922,100.81,3.04,4.4,2.09,2.3,150.81,5.12,6.1,4.23,1.87,151.56
20180923,100.83,2.17,2.95,1.69,1.27,217.31,3.55,6.46,2.22,4.24,217.69
20180924,100.58,2.28,2.86,1.67,1.19,228.94,4.02,6.29,2.38,3.91,230.06
20180925,100.41,1.73,2.57,0.93,1.64,234.94,3.27,5.62,1.18,4.45,235.25
20180926,100.36,1.05,2.34,0.09,2.25,176.06,1.94,5.27,0.16,5.11,176.38
20180927,100.44,1.3,2.0,0.12,1.88,253.88,2.18,3.86,0.23,3.64,254.06
20180928,100.5,1.45,2.33,0.25,2.08,237.19,2.54,5.34,0.39,4.95,239.25
20180929,100.49,1.8,2.52,0.62,1.91,283.69,2.94,5.29,0.88,4.41,283.62
20180930,100.49,2.05,3.23,1.2,2.04,294.88,3.23,4.98,1.78,3.21,295.06
20181001,100.56,1.89,2.9,0.87,2.03,272.75,3.15,5.36,1.12,4.24,273.0
20181002,100.61,2.3,3.24,1.42,1.82,253.38,3.76,5.57,2.2,3.38,253.44
