,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20120622,99.29,4.58,5.78,3.81,1.97,164.75,6.23,7.82,4.62,3.2,150.62
20120623,99.41,4.05,5.04,2.35,2.69,248.19,5.85,7.52,4.71,2.81,249.12
20120624,99.5,5.68,7.67,3.6,4.07,233.69,7.58,9.33,5.83,3.51,234.81
20120625,99.61,7.3,8.97,5.38,3.59,208.88,9.51,11.88,7.07,4.8,210.56
20120626,99.55,6.45,7.95,4.27,3.68,218.56,8.41,10.42,5.15,5.27,220.31
20120627,99.56,5.09,6.19,3.53,2.65,225.75,6.77,8.2,5.12,3.09,227.31
20120628,99.63,3.05,4.83,1.28,3.55,205.19,4.37,6.74,1.02,5.72,205.19
20120629,99.51,2.61,4.98,0.41,4.56,209.06,3.8,7.27,0.36,6.91,210.69
20120630,99.42,3.23,4.49,1.98,2.51,186.0,4.43,6.99,2.14,4.86,187.88
20120701,99.44,4.05,6.29,2.09,4.2,137.75,5.34,7.82,3.18,4.64,137.5
20120702,99.45,4.89,7.66,2.02,5.65,105.0,6.41,9.41,3.66,5.75,104.88
20120703,99.27,4.98,7.18,1.98,5.2,134.06,6.33,8.75,3.49,5.26,134.62
20120704,99.27,5.91,7.45,4.52,2.93,171.25,7.52,9.3,6.7,2.6,172.19
20120705,99.42,4.62,5.51,3.41,2.09,194.44,6.22,7.4,4.18,3.23,196.06
20120706,99.44,3.34,4.97,2.12,2.85,195.19,4.81,7.4,2.84,4.56,195.94
20120707,99.38,4.84,6.32,3.46,2.86,179.0,6.52,7.88,5.23,2.64,179.94
20120708,99.38,4.33,5.35,3.02,2.33,179.19,5.8,7.13,4.23,2.9,179.94
20120709,99.59,4.57,6.48,2.4,4.09,170.69,6.16,7.84,3.88,3.97,171.06
20120710,99.9,4.15,5.38,3.18,2.2,183.88,5.66,7.09,3.91,3.19,184.56
20120711,99.92,3.6,5.02,2.62,2.39,201.62,5.05,7.5,2.88,4.61,203.0
